sample,split,material,material_asset,base_color_texture,scene,crack_object
"crack_000018","train","mat_crack_7","Assets/Materials/decals/mat_crack_7.mat","Assets/Textures/Concrete_cracks/CC_2.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_12/Pole/Crack_Decal"
"crack_000019","train","mat_crack_4","Assets/Materials/decals/mat_crack_4.mat","Assets/Textures/crack2.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_7/Pole/Crack_Decal"
"crack_000020","val","mat_crack_7","Assets/Materials/decals/mat_crack_7.mat","Assets/Textures/Concrete_cracks/CC_2.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_12/Pole/Crack_Decal"
"crack_000021","train","mat_crack_7","Assets/Materials/decals/mat_crack_7.mat","Assets/Textures/Concrete_cracks/CC_2.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_12/Pole/Crack_Decal"
"crack_000022","train","mat_crack_7","Assets/Materials/decals/mat_crack_7.mat","Assets/Textures/Concrete_cracks/CC_2.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_12/Pole/Crack_Decal"
"crack_000023","train","mat_crack_7","Assets/Materials/decals/mat_crack_7.mat","Assets/Textures/Concrete_cracks/CC_2.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_12/Pole/Crack_Decal"
"crack_000024","test","mat_crack_5","Assets/Materials/decals/mat_crack_5.mat","Assets/Textures/crack_blade.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_5/Pole/Crack_Decal"
"crack_000025","val","mat_crack_6","Assets/Materials/decals/mat_crack_6.mat","Assets/Textures/Concrete_cracks/CC_1.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_11/Pole/Crack_Decal"
"crack_000026","train","mat_crack_6","Assets/Materials/decals/mat_crack_6.mat","Assets/Textures/Concrete_cracks/CC_1.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_2/Pole/Crack_Decal"
"crack_000027","train","mat_crack_7","Assets/Materials/decals/mat_crack_7.mat","Assets/Textures/Concrete_cracks/CC_2.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_8/Pole/Crack_Decal"
"crack_000028","train","mat_crack_6","Assets/Materials/decals/mat_crack_6.mat","Assets/Textures/Concrete_cracks/CC_1.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_9/Pole/Crack_Decal"
"crack_000029","train","mat_crack_7","Assets/Materials/decals/mat_crack_7.mat","Assets/Textures/Concrete_cracks/CC_2.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_12/Pole/Crack_Decal"
"crack_000030","train","mat_crack_7","Assets/Materials/decals/mat_crack_7.mat","Assets/Textures/Concrete_cracks/CC_2.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_12/Pole/Crack_Decal"
"crack_000031","train","mat_crack_6","Assets/Materials/decals/mat_crack_6.mat","Assets/Textures/Concrete_cracks/CC_1.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_2/Pole/Crack_Decal"
"crack_000032","train","mat_crack_6","Assets/Materials/decals/mat_crack_6.mat","Assets/Textures/Concrete_cracks/CC_1.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_9/Pole/Crack_Decal"
"crack_000033","test","mat_crack_7","Assets/Materials/decals/mat_crack_7.mat","Assets/Textures/Concrete_cracks/CC_2.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_8/Pole/Crack_Decal"
"crack_000034","test","mat_crack_5","Assets/Materials/decals/mat_crack_5.mat","Assets/Textures/crack_blade.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_5/Pole/Crack_Decal"
"crack_000035","train","mat_crack_4","Assets/Materials/decals/mat_crack_4.mat","Assets/Textures/crack2.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_7/Pole/Crack_Decal"
"crack_000036","train","mat_crack_7","Assets/Materials/decals/mat_crack_7.mat","Assets/Textures/Concrete_cracks/CC_2.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_12/Pole/Crack_Decal"
"crack_000037","train","mat_crack_4","Assets/Materials/decals/mat_crack_4.mat","Assets/Textures/crack2.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_7/Pole/Crack_Decal"
"crack_000038","train","mat_crack_6","Assets/Materials/decals/mat_crack_6.mat","Assets/Textures/Concrete_cracks/CC_1.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_9/Pole/Crack_Decal"
"crack_000039","val","mat_crack_6","Assets/Materials/decals/mat_crack_6.mat","Assets/Textures/Concrete_cracks/CC_1.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_2/Pole/Crack_Decal"
"crack_000040","test","mat_crack_5","Assets/Materials/decals/mat_crack_5.mat","Assets/Textures/crack_blade.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_5/Pole/Crack_Decal"
"crack_000041","train","mat_crack_6","Assets/Materials/decals/mat_crack_6.mat","Assets/Textures/Concrete_cracks/CC_1.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_4/Pole/Crack_Decal"
"crack_000042","train","mat_crack_6","Assets/Materials/decals/mat_crack_6.mat","Assets/Textures/Concrete_cracks/CC_1.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_2/Pole/Crack_Decal"
"crack_000043","train","mat_crack_6","Assets/Materials/decals/mat_crack_6.mat","Assets/Textures/Concrete_cracks/CC_1.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_13/Pole/Crack_Decal"
"crack_000044","val","mat_crack_7","Assets/Materials/decals/mat_crack_7.mat","Assets/Textures/Concrete_cracks/CC_2.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_12/Pole/Crack_Decal"
"crack_000045","train","mat_crack_7","Assets/Materials/decals/mat_crack_7.mat","Assets/Textures/Concrete_cracks/CC_2.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_12/Pole/Crack_Decal"
"crack_000046","train","mat_crack_7","Assets/Materials/decals/mat_crack_7.mat","Assets/Textures/Concrete_cracks/CC_2.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_12/Pole/Crack_Decal"
"crack_000047","train","mat_crack_6","Assets/Materials/decals/mat_crack_6.mat","Assets/Textures/Concrete_cracks/CC_1.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_9/Pole/Crack_Decal"
"crack_000048","train","mat_crack_7","Assets/Materials/decals/mat_crack_7.mat","Assets/Textures/Concrete_cracks/CC_2.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_8/Pole/Crack_Decal"
"crack_000049","train","mat_crack_4","Assets/Materials/decals/mat_crack_4.mat","Assets/Textures/crack2.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_16/Pole/Crack_Decal"
"crack_000050","train","mat_crack_7","Assets/Materials/decals/mat_crack_7.mat","Assets/Textures/Concrete_cracks/CC_2.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_12/Pole/Crack_Decal"
"crack_000051","train","mat_crack_7","Assets/Materials/decals/mat_crack_7.mat","Assets/Textures/Concrete_cracks/CC_2.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_8/Pole/Crack_Decal"
"crack_000052","train","mat_crack_7","Assets/Materials/decals/mat_crack_7.mat","Assets/Textures/Concrete_cracks/CC_2.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_12/Pole/Crack_Decal"
"crack_000053","train","mat_crack_7","Assets/Materials/decals/mat_crack_7.mat","Assets/Textures/Concrete_cracks/CC_2.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_8/Pole/Crack_Decal"
"crack_000054","train","mat_crack_7","Assets/Materials/decals/mat_crack_7.mat","Assets/Textures/Concrete_cracks/CC_2.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_12/Pole/Crack_Decal"
"crack_000055","train","mat_crack_7","Assets/Materials/decals/mat_crack_7.mat","Assets/Textures/Concrete_cracks/CC_2.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_12/Pole/Crack_Decal"
"crack_000056","train","mat_crack_6","Assets/Materials/decals/mat_crack_6.mat","Assets/Textures/Concrete_cracks/CC_1.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_2/Pole/Crack_Decal"
"crack_000057","train","mat_crack_7","Assets/Materials/decals/mat_crack_7.mat","Assets/Textures/Concrete_cracks/CC_2.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_12/Pole/Crack_Decal"
"crack_000058","train","mat_crack_7","Assets/Materials/decals/mat_crack_7.mat","Assets/Textures/Concrete_cracks/CC_2.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_8/Pole/Crack_Decal"
"crack_000059","train","mat_crack_7","Assets/Materials/decals/mat_crack_7.mat","Assets/Textures/Concrete_cracks/CC_2.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_12/Pole/Crack_Decal"
"crack_000060","train","mat_crack_6","Assets/Materials/decals/mat_crack_6.mat","Assets/Textures/Concrete_cracks/CC_1.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_13/Pole/Crack_Decal"
"crack_000061","val","mat_crack_7","Assets/Materials/decals/mat_crack_7.mat","Assets/Textures/Concrete_cracks/CC_2.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_12/Pole/Crack_Decal"
"crack_000062","train","mat_crack_4","Assets/Materials/decals/mat_crack_4.mat","Assets/Textures/crack2.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_7/Pole/Crack_Decal"
"crack_000063","train","mat_crack_4","Assets/Materials/decals/mat_crack_4.mat","Assets/Textures/crack2.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_16/Pole/Crack_Decal"
"crack_000064","val","mat_crack_6","Assets/Materials/decals/mat_crack_6.mat","Assets/Textures/Concrete_cracks/CC_1.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_11/Pole/Crack_Decal"
"crack_000065","train","mat_crack_4","Assets/Materials/decals/mat_crack_4.mat","Assets/Textures/crack2.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_7/Pole/Crack_Decal"
"crack_000066","test","mat_crack_5","Assets/Materials/decals/mat_crack_5.mat","Assets/Textures/crack_blade.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_5/Pole/Crack_Decal"
"crack_000067","train","mat_crack_6","Assets/Materials/decals/mat_crack_6.mat","Assets/Textures/Concrete_cracks/CC_1.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_2/Pole/Crack_Decal"
"crack_000068","train","mat_crack_6","Assets/Materials/decals/mat_crack_6.mat","Assets/Textures/Concrete_cracks/CC_1.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_2/Pole/Crack_Decal"
"crack_000069","train","mat_crack_7","Assets/Materials/decals/mat_crack_7.mat","Assets/Textures/Concrete_cracks/CC_2.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_12/Pole/Crack_Decal"
"crack_000070","train","mat_crack_7","Assets/Materials/decals/mat_crack_7.mat","Assets/Textures/Concrete_cracks/CC_2.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_12/Pole/Crack_Decal"
"crack_000071","train","mat_crack_7","Assets/Materials/decals/mat_crack_7.mat","Assets/Textures/Concrete_cracks/CC_2.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_12/Pole/Crack_Decal"
"crack_000072","val","mat_crack_7","Assets/Materials/decals/mat_crack_7.mat","Assets/Textures/Concrete_cracks/CC_2.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_12/Pole/Crack_Decal"
"crack_000073","val","mat_crack_6","Assets/Materials/decals/mat_crack_6.mat","Assets/Textures/Concrete_cracks/CC_1.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_2/Pole/Crack_Decal"
"crack_000074","train","mat_crack_7","Assets/Materials/decals/mat_crack_7.mat","Assets/Textures/Concrete_cracks/CC_2.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_12/Pole/Crack_Decal"
"crack_000075","val","mat_crack_7","Assets/Materials/decals/mat_crack_7.mat","Assets/Textures/Concrete_cracks/CC_2.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_12/Pole/Crack_Decal"
"crack_000076","train","mat_crack_6","Assets/Materials/decals/mat_crack_6.mat","Assets/Textures/Concrete_cracks/CC_1.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_2/Pole/Crack_Decal"
"crack_000077","train","mat_crack_6","Assets/Materials/decals/mat_crack_6.mat","Assets/Textures/Concrete_cracks/CC_1.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_9/Pole/Crack_Decal"
"crack_000078","train","mat_crack_7","Assets/Materials/decals/mat_crack_7.mat","Assets/Textures/Concrete_cracks/CC_2.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_12/Pole/Crack_Decal"
"crack_000079","train","mat_crack_6","Assets/Materials/decals/mat_crack_6.mat","Assets/Textures/Concrete_cracks/CC_1.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_2/Pole/Crack_Decal"
"crack_000080","train","mat_crack_7","Assets/Materials/decals/mat_crack_7.mat","Assets/Textures/Concrete_cracks/CC_2.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_12/Pole/Crack_Decal"
"crack_000081","val","mat_crack_6","Assets/Materials/decals/mat_crack_6.mat","Assets/Textures/Concrete_cracks/CC_1.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_11/Pole/Crack_Decal"
"crack_000082","train","mat_crack_6","Assets/Materials/decals/mat_crack_6.mat","Assets/Textures/Concrete_cracks/CC_1.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_2/Pole/Crack_Decal"
"crack_000083","train","mat_crack_7","Assets/Materials/decals/mat_crack_7.mat","Assets/Textures/Concrete_cracks/CC_2.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_12/Pole/Crack_Decal"
"crack_000084","train","mat_crack_6","Assets/Materials/decals/mat_crack_6.mat","Assets/Textures/Concrete_cracks/CC_1.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_2/Pole/Crack_Decal"
"crack_000085","train","mat_crack_6","Assets/Materials/decals/mat_crack_6.mat","Assets/Textures/Concrete_cracks/CC_1.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_11/Pole/Crack_Decal"
"crack_000086","train","mat_crack_7","Assets/Materials/decals/mat_crack_7.mat","Assets/Textures/Concrete_cracks/CC_2.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_12/Pole/Crack_Decal"
"crack_000087","train","mat_crack_7","Assets/Materials/decals/mat_crack_7.mat","Assets/Textures/Concrete_cracks/CC_2.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_12/Pole/Crack_Decal"
"crack_000088","train","mat_crack_6","Assets/Materials/decals/mat_crack_6.mat","Assets/Textures/Concrete_cracks/CC_1.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_9/Pole/Crack_Decal"
"crack_000089","train","mat_crack_7","Assets/Materials/decals/mat_crack_7.mat","Assets/Textures/Concrete_cracks/CC_2.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_12/Pole/Crack_Decal"
"crack_000090","train","mat_crack_6","Assets/Materials/decals/mat_crack_6.mat","Assets/Textures/Concrete_cracks/CC_1.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_2/Pole/Crack_Decal"
"crack_000091","train","mat_crack_6","Assets/Materials/decals/mat_crack_6.mat","Assets/Textures/Concrete_cracks/CC_1.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_4/Pole/Crack_Decal"
"crack_000092","train","mat_crack_7","Assets/Materials/decals/mat_crack_7.mat","Assets/Textures/Concrete_cracks/CC_2.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_8/Pole/Crack_Decal"
"crack_000093","train","mat_crack_6","Assets/Materials/decals/mat_crack_6.mat","Assets/Textures/Concrete_cracks/CC_1.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_2/Pole/Crack_Decal"
"crack_000094","test","mat_crack_7","Assets/Materials/decals/mat_crack_7.mat","Assets/Textures/Concrete_cracks/CC_2.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_8/Pole/Crack_Decal"
"crack_000095","train","mat_crack_4","Assets/Materials/decals/mat_crack_4.mat","Assets/Textures/crack2.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_7/Pole/Crack_Decal"
"crack_000096","train","mat_crack_6","Assets/Materials/decals/mat_crack_6.mat","Assets/Textures/Concrete_cracks/CC_1.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_13/Pole/Crack_Decal"
"crack_000097","train","mat_crack_7","Assets/Materials/decals/mat_crack_7.mat","Assets/Textures/Concrete_cracks/CC_2.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_12/Pole/Crack_Decal"
"crack_000098","val","mat_crack_7","Assets/Materials/decals/mat_crack_7.mat","Assets/Textures/Concrete_cracks/CC_2.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_12/Pole/Crack_Decal"
"crack_000099","val","mat_crack_6","Assets/Materials/decals/mat_crack_6.mat","Assets/Textures/Concrete_cracks/CC_1.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_2/Pole/Crack_Decal"
"crack_000100","train","mat_crack_6","Assets/Materials/decals/mat_crack_6.mat","Assets/Textures/Concrete_cracks/CC_1.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_9/Pole/Crack_Decal"
"crack_000101","train","mat_crack_6","Assets/Materials/decals/mat_crack_6.mat","Assets/Textures/Concrete_cracks/CC_1.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_4/Pole/Crack_Decal"
"crack_000102","val","mat_crack_6","Assets/Materials/decals/mat_crack_6.mat","Assets/Textures/Concrete_cracks/CC_1.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_2/Pole/Crack_Decal"
"crack_000103","train","mat_crack_7","Assets/Materials/decals/mat_crack_7.mat","Assets/Textures/Concrete_cracks/CC_2.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_12/Pole/Crack_Decal"
"crack_000104","val","mat_crack_6","Assets/Materials/decals/mat_crack_6.mat","Assets/Textures/Concrete_cracks/CC_1.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_11/Pole/Crack_Decal"
"crack_000105","train","mat_crack_6","Assets/Materials/decals/mat_crack_6.mat","Assets/Textures/Concrete_cracks/CC_1.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_4/Pole/Crack_Decal"
"crack_000106","train","mat_crack_4","Assets/Materials/decals/mat_crack_4.mat","Assets/Textures/crack2.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_16/Pole/Crack_Decal"
"crack_000107","train","mat_crack_7","Assets/Materials/decals/mat_crack_7.mat","Assets/Textures/Concrete_cracks/CC_2.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_8/Pole/Crack_Decal"
"crack_000108","train","mat_crack_7","Assets/Materials/decals/mat_crack_7.mat","Assets/Textures/Concrete_cracks/CC_2.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_8/Pole/Crack_Decal"
"crack_000109","train","mat_crack_6","Assets/Materials/decals/mat_crack_6.mat","Assets/Textures/Concrete_cracks/CC_1.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_4/Pole/Crack_Decal"
"crack_000110","train","mat_crack_7","Assets/Materials/decals/mat_crack_7.mat","Assets/Textures/Concrete_cracks/CC_2.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_12/Pole/Crack_Decal"
"crack_000111","train","mat_crack_7","Assets/Materials/decals/mat_crack_7.mat","Assets/Textures/Concrete_cracks/CC_2.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_12/Pole/Crack_Decal"
"crack_000112","train","mat_crack_4","Assets/Materials/decals/mat_crack_4.mat","Assets/Textures/crack2.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_7/Pole/Crack_Decal"
"crack_000113","train","mat_crack_6","Assets/Materials/decals/mat_crack_6.mat","Assets/Textures/Concrete_cracks/CC_1.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_2/Pole/Crack_Decal"
"crack_000114","train","mat_crack_6","Assets/Materials/decals/mat_crack_6.mat","Assets/Textures/Concrete_cracks/CC_1.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_2/Pole/Crack_Decal"
"crack_000115","train","mat_crack_7","Assets/Materials/decals/mat_crack_7.mat","Assets/Textures/Concrete_cracks/CC_2.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_12/Pole/Crack_Decal"
"crack_000116","train","mat_crack_7","Assets/Materials/decals/mat_crack_7.mat","Assets/Textures/Concrete_cracks/CC_2.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_12/Pole/Crack_Decal"
"crack_000117","train","mat_crack_6","Assets/Materials/decals/mat_crack_6.mat","Assets/Textures/Concrete_cracks/CC_1.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_11/Pole/Crack_Decal"
"crack_000118","train","mat_crack_7","Assets/Materials/decals/mat_crack_7.mat","Assets/Textures/Concrete_cracks/CC_2.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_8/Pole/Crack_Decal"
"crack_000119","val","mat_crack_7","Assets/Materials/decals/mat_crack_7.mat","Assets/Textures/Concrete_cracks/CC_2.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_12/Pole/Crack_Decal"
"crack_000120","train","mat_crack_6","Assets/Materials/decals/mat_crack_6.mat","Assets/Textures/Concrete_cracks/CC_1.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_4/Pole/Crack_Decal"
"crack_000121","train","mat_crack_7","Assets/Materials/decals/mat_crack_7.mat","Assets/Textures/Concrete_cracks/CC_2.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_12/Pole/Crack_Decal"
"crack_000122","val","mat_crack_7","Assets/Materials/decals/mat_crack_7.mat","Assets/Textures/Concrete_cracks/CC_2.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_12/Pole/Crack_Decal"
"crack_000123","train","mat_crack_6","Assets/Materials/decals/mat_crack_6.mat","Assets/Textures/Concrete_cracks/CC_1.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_2/Pole/Crack_Decal"
